суриков	57134
гравер	264738
васильев	49073
караваджо	49073
шевченко	48932
верещагин	48507
малевич	48366
брюллов	42568
гоген	41295
кустодиев	37759
васнецов	29415
айвазовский	28567
шишкин	28284
заха	26304
саврасов	23759
кандинский	23193
художник	22486
гофман	21779
сезанн	21496
зичи	18526
крамской	17960
кипренский	17819
поленов	16970
макар	15415
волошин	21495
бенуа	22909
матисс	14990
инвентор	42424
перов	14283
тропинин	14000
брейгель	13576
рокотов	13576
левицкий	11030
коровин	10748
беклемишев	9192
романов	8061
боровиковский	8061
маковский	7919
руссо	7778
боголюбов	6929
кранах	12728
моне	6364
петров	6222
автор	6222
писсарро	6081
